id	number	title
1	I 	Live animals; animal products 
2	II	Vegetable products
3	III	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
4	IV	Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes
5	V	Mineral products
6	VI	Products of the chemical or allied industries
7	VII	Plastics and articles thereof; rubber and articles thereof
8	VIII	Raw hides and skins, leather, furskins and articles thereof; saddlery and harness, travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)
9	IX	Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork 
10	X	Pulp of wood or of other cellulosic material, recovered (waste and scrap) paper and paperboard, and articles thereof
11	XI	Textiles and textile articles 
12	XII	Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops, and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair 
13	XIII	Articles of stone, plaster, cement, asbestos, mica or similar materials, ceramic products, glass and glassware 
14	XIV	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin 
15	XV	Base metals and articles of base metal
16	XVI	Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles 
17	XVII	Vehicles, aircraft, vessels and associated transport equipment 
18	XVIII	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof 
19	XIX	Arms and ammunition; parts and accessories thereof 
20	XX	Miscellaneous manufactured articles 
21	XXI	Works of art, collectors' pieces and antiques 
